"species"	"assembly_accession"	"genome_fasta_path"	"rrna_16s_fasta_path"	"source_audit_status"	"source_outdir"	"lpsn_type_strain_ids"	"evidence_summary"
"Fusobacterium canifelinum"	"GCF_016724785.1"	"results/fusobacterium_acquisition_enriched_dryrun/genomes/references/Fusobacterium_canifelinum_FDAARGOS_1126_GCF_016724785.1.fna"	"results/fusobacterium_acquisition_enriched_dryrun/rrna/sequences/Fusobacterium_canifelinum_FDAARGOS_1126_GCF_016724785.1.16s.fasta"	"same_genome_internal_16s"	"results/fusobacterium_acquisition_enriched_dryrun"	"ATCC BAA-689; CCUG 49733; DSM 15542; RMA 1036"	"Selected NCBI Assembly accession has strict type-strain deposit evidence."
"Fusobacterium gastrosuis"	"GCF_900095285.1"	"results/fusobacterium_manual_review_applied_high_confidence_download_new/genomes/references/Fusobacterium_gastrosuis_Fusobacterium_gastrosuis_sp._nov.,_strain_P6_Po,_CDW1_GCF_900095285.1.fna"	"results/fusobacterium_manual_review_applied_high_confidence_download_new/rrna/sequences/Fusobacterium_gastrosuis_Fusobacterium_gastrosuis_sp._nov.,_strain_P6_Po,_CDW1_GCF_900095285.1.16s.fasta"	"same_genome_internal_16s"	"results/fusobacterium_manual_review_applied_high_confidence_download_new"	"CDW1; DSM 101753; LMG 29236"	"Selected NCBI Assembly accession has curator-confirmed type-strain equivalence evidence."
"Fusobacterium gonidiaformans"	"GCF_003019695.1"	"results/fusobacterium_acquisition_real_dryrun/genomes/references/Fusobacterium_gonidiaformans_GCF_003019695.1.fna"	"results/fusobacterium_acquisition_real_dryrun/rrna/sequences/Fusobacterium_gonidiaformans_GCF_003019695.1.16s.fasta"	"same_genome_internal_16s"	"results/fusobacterium_acquisition_real_dryrun"	"ATCC 25563; CCUG 16790; DSM 19810"	"Selected NCBI Assembly accession has strict type-strain deposit evidence."
"Fusobacterium hominis"	"GCF_014337255.1"	"results/fusobacterium_manual_review_applied_high_confidence_download_new/genomes/references/Fusobacterium_hominis_NSJ-57_GCF_014337255.1.fna"	"results/fusobacterium_manual_review_applied_high_confidence_download_new/rrna/sequences/Fusobacterium_hominis_NSJ-57_GCF_014337255.1.16s.fasta"	"same_genome_internal_16s"	"results/fusobacterium_manual_review_applied_high_confidence_download_new"	"CGMCC 1.32833; KCTC 25145; NSJ 57"	"Selected NCBI Assembly accession has curator-confirmed type-strain equivalence evidence."
"Fusobacterium naviforme"	"GCF_003014445.1"	"results/fusobacterium_acquisition_enriched_dryrun/genomes/references/Fusobacterium_naviforme_ATCC_25832_GCF_003014445.1.fna"	"results/fusobacterium_acquisition_enriched_dryrun/rrna/sequences/Fusobacterium_naviforme_ATCC_25832_GCF_003014445.1.16s.fasta"	"same_genome_internal_16s"	"results/fusobacterium_acquisition_enriched_dryrun"	"ATCC 25832; CCUG 50052; NCTC 13121"	"Selected NCBI Assembly accession has strict type-strain deposit evidence."
"Fusobacterium necrogenes"	"GCF_900450765.1"	"results/fusobacterium_acquisition_enriched_dryrun/genomes/references/Fusobacterium_necrogenes_NCTC10723_GCF_900450765.1.fna"	"results/fusobacterium_acquisition_enriched_dryrun/rrna/sequences/Fusobacterium_necrogenes_NCTC10723_GCF_900450765.1.16s.fasta"	"same_genome_internal_16s"	"results/fusobacterium_acquisition_enriched_dryrun"	"ATCC 25556; CCUG 4949; NCTC 10723"	"Selected NCBI Assembly accession has strict type-strain deposit evidence."
"Fusobacterium necrophorum"	"GCF_900104395.1"	"results/fusobacterium_pending5_candidate_applied/genomes/references/Fusobacterium_necrophorum_ATCC_25286_GCF_900104395.1.fna"	"results/fusobacterium_pending5_candidate_applied/rrna/sequences/Fusobacterium_necrophorum_ATCC_25286_GCF_900104395.1.16s.fasta"	"same_genome_internal_16s"	"results/fusobacterium_pending5_candidate_applied"	"ATCC 25286; CCUG 9994; CIP 104559; DSM 19788; DSM 21784; JCM 3718; NCTC 13726; VPI 2891"	"Selected NCBI Assembly accession has curator-confirmed type-strain evidence."
"Fusobacterium nucleatum"	"GCF_037900345.1"	"results/fusobacterium_acquisition_real_dryrun/genomes/references/Fusobacterium_nucleatum_GCF_037900345.1.fna"	"results/fusobacterium_acquisition_real_dryrun/rrna/sequences/Fusobacterium_nucleatum_GCF_037900345.1.16s.fasta"	"same_genome_internal_16s"	"results/fusobacterium_acquisition_real_dryrun"	"ATCC 25586; CCUG 32989; CCUG 33059; CIP 101130; DSM 15643; JCM 8532; LMG 13131"	"Selected NCBI Assembly accession has strict type-strain deposit evidence."
"Fusobacterium paranimalis"	"GCA_965278035.1"	"results/fusobacterium_acquisition_real_dryrun/genomes/references/Fusobacterium_paranimalis_GCA_965278035.1.fna"	"results/fusobacterium_acquisition_real_dryrun/rrna/sequences/Fusobacterium_paranimalis_GCA_965278035.1.16s.fasta"	"same_genome_internal_16s"	"results/fusobacterium_acquisition_real_dryrun"	"DSM 119817; NCTC 15132; Vestland19"	"Selected NCBI Assembly accession has strict type-strain deposit evidence."
"Fusobacterium perfoetens"	"GCF_000622245.1"	"results/fusobacterium_acquisition_real_dryrun/genomes/references/Fusobacterium_perfoetens_GCF_000622245.1.fna"	"results/fusobacterium_acquisition_real_dryrun/rrna/sequences/Fusobacterium_perfoetens_GCF_000622245.1.16s.fasta"	"same_genome_internal_16s"	"results/fusobacterium_acquisition_real_dryrun"	"ATCC 29250"	"Selected NCBI Assembly accession has strict type-strain deposit evidence."
