record_id	canonical_name	display_name	genus	species	strain	taxid	family	order	assembly_accession	assembly_source	is_type_material	is_outgroup	is_query	has_genome	genome_path	has_16s	rrna_16s_path	normalized_id	source	status	notes
fusobacterium_canifelinum_ncbi	Fusobacterium canifelinum	Fusobacterium canifelinum type strain	Fusobacterium	canifelinum	type strain				GCF_016724785.1	NCBI	true	false	false	true	genomes/references/Fusobacterium_canifelinum_GCF_016724785.1.fna	false		fusobacterium_canifelinum_ncbi	archive_fusobacterium_v0_5_0_pilot_fixture	genome_ready	Archived v0.5.0 NCBI Assembly strict delivery accession; pilot fixture row.
fusobacterium_gastrosuis_ncbi	Fusobacterium gastrosuis	Fusobacterium gastrosuis type strain	Fusobacterium	gastrosuis	type strain				GCF_900095285.1	NCBI	true	false	false	true	genomes/references/Fusobacterium_gastrosuis_GCF_900095285.1.fna	false		fusobacterium_gastrosuis_ncbi	archive_fusobacterium_v0_5_0_pilot_fixture	genome_ready	Archived v0.5.0 NCBI Assembly strict delivery accession; pilot fixture row.
fusobacterium_gonidiaformans_ncbi	Fusobacterium gonidiaformans	Fusobacterium gonidiaformans type strain	Fusobacterium	gonidiaformans	type strain				GCF_003019695.1	NCBI	true	false	false	true	genomes/references/Fusobacterium_gonidiaformans_GCF_003019695.1.fna	false		fusobacterium_gonidiaformans_ncbi	archive_fusobacterium_v0_5_0_pilot_fixture	genome_ready	Archived v0.5.0 NCBI Assembly strict delivery accession; pilot fixture row.
fusobacterium_hominis_ncbi	Fusobacterium hominis	Fusobacterium hominis type strain	Fusobacterium	hominis	type strain				GCF_014337255.1	NCBI	true	false	false	true	genomes/references/Fusobacterium_hominis_GCF_014337255.1.fna	false		fusobacterium_hominis_ncbi	archive_fusobacterium_v0_5_0_pilot_fixture	genome_ready	Archived v0.5.0 NCBI Assembly strict delivery accession; pilot fixture row.
fusobacterium_naviforme_ncbi	Fusobacterium naviforme	Fusobacterium naviforme type strain	Fusobacterium	naviforme	type strain				GCF_003014445.1	NCBI	true	false	false	true	genomes/references/Fusobacterium_naviforme_GCF_003014445.1.fna	false		fusobacterium_naviforme_ncbi	archive_fusobacterium_v0_5_0_pilot_fixture	genome_ready	Archived v0.5.0 NCBI Assembly strict delivery accession; pilot fixture row.
fusobacterium_necrogenes_ncbi	Fusobacterium necrogenes	Fusobacterium necrogenes type strain	Fusobacterium	necrogenes	type strain				GCF_900450765.1	NCBI	true	false	false	true	genomes/references/Fusobacterium_necrogenes_GCF_900450765.1.fna	false		fusobacterium_necrogenes_ncbi	archive_fusobacterium_v0_5_0_pilot_fixture	genome_ready	Archived v0.5.0 NCBI Assembly strict delivery accession; pilot fixture row.
fusobacterium_necrophorum_ncbi	Fusobacterium necrophorum	Fusobacterium necrophorum type strain	Fusobacterium	necrophorum	type strain				GCF_900104395.1	NCBI	true	false	false	true	genomes/references/Fusobacterium_necrophorum_GCF_900104395.1.fna	false		fusobacterium_necrophorum_ncbi	archive_fusobacterium_v0_5_0_pilot_fixture	genome_ready	Archived v0.5.0 NCBI Assembly strict delivery accession; pilot fixture row.
fusobacterium_nucleatum_ncbi	Fusobacterium nucleatum	Fusobacterium nucleatum type strain	Fusobacterium	nucleatum	type strain				GCF_037900345.1	NCBI	true	false	false	true	genomes/references/Fusobacterium_nucleatum_GCF_037900345.1.fna	false		fusobacterium_nucleatum_ncbi	archive_fusobacterium_v0_5_0_pilot_fixture	genome_ready	Archived v0.5.0 NCBI Assembly strict delivery accession; pilot fixture row.
fusobacterium_paranimalis_ncbi	Fusobacterium paranimalis	Fusobacterium paranimalis type strain	Fusobacterium	paranimalis	type strain				GCA_965278035.1	NCBI	true	false	false	true	genomes/references/Fusobacterium_paranimalis_GCA_965278035.1.fna	false		fusobacterium_paranimalis_ncbi	archive_fusobacterium_v0_5_0_pilot_fixture	genome_ready	Archived v0.5.0 NCBI Assembly strict delivery accession; pilot fixture row.
fusobacterium_perfoetens_ncbi	Fusobacterium perfoetens	Fusobacterium perfoetens type strain	Fusobacterium	perfoetens	type strain				GCF_000622245.1	NCBI	true	false	false	true	genomes/references/Fusobacterium_perfoetens_GCF_000622245.1.fna	false		fusobacterium_perfoetens_ncbi	archive_fusobacterium_v0_5_0_pilot_fixture	genome_ready	Archived v0.5.0 NCBI Assembly strict delivery accession; pilot fixture row.
fusobacterium_periodonticum_ncbi	Fusobacterium periodonticum	Fusobacterium periodonticum type strain	Fusobacterium	periodonticum	type strain				GCF_000160475.1	NCBI	true	false	false	true	genomes/references/Fusobacterium_periodonticum_GCF_000160475.1.fna	false		fusobacterium_periodonticum_ncbi	archive_fusobacterium_v0_5_0_pilot_fixture	genome_ready	Archived v0.5.0 NCBI Assembly strict delivery accession; pilot fixture row.
